Animal ID	year	species	common name	species abbrev	sex	age	age_bin	sample_date	PDV_titer	PDV_result
10-086	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/19/2010	 <8	neg
10-087	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/19/2010	 <8	neg
10-088	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/19/2010	 <8	neg
10-089	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/19/2010	 <8	neg
10-090	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/26/2010	 <8	neg
10-092	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	8/31/2010	 <8	neg
10-093	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/31/2010	 <8	neg
10-094	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	8/31/2010	 <8	neg
10-095	2011	Phoca vitulina	Harbor seal	Pv	Female	yearling	AFY	5/5/2011	 <8	neg
10-096	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	8/31/2010	 <8	neg
10-097	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	8/31/2010	 <8	neg
10-099	2010	Phoca vitulina	Harbor seal	Pv	Male	yearling	AFY	10/29/2010	 <8	neg
10-100	2010	Phoca vitulina	Harbor seal	Pv	Female	yearling	AFY	10/29/2010	 <8	neg
10-101	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	9/14/2010	 <8	neg
10-102	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	9/14/2010	 <8	neg
10-103	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	9/14/2010	 <8	neg
10-104	2010	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	9/24/2010	 <8	neg
10-105	2010	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	9/24/2010	 <8	neg
11-001	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	juvenile	AFY	2/4/2011	 <8	neg
11-002	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	juvenile	AFY	2/17/2011	 <8	neg
11-002-NOAA	2011	Phoca vitulina	Harbor seal	Pv	Male	Adult	AFY	4/7/2011	16	pos
11-003	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	juvenile	AFY	2/17/2011	 <8	neg
11-003-NOAA	2011	Phoca vitulina	Harbor seal	Pv	Male	Adult	AFY	4/7/2011	256	pos
11-005	2011	Pagophilus groenlandicus	Harp seal	Pg	Female	pup	FY	2/25/2011	 <8	neg
11-006	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	Adult	AFY	3/1/2011	32	pos
11-007	2011	Halichoerus grypus	Grey seal	Hg	Female	pup	FY	3/17/2011	 <8	neg
11-008	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	3/17/2011	16	pos
11-011	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	3/31/2011	64	pos
11-012	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	4/15/2011	128	pos
11-012-NOAA	2011	Phoca vitulina	Harbor seal	Pv	Female	Adult	AFY	4/10/2011	128	pos
11-013	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	4/28/2011	64	pos
11-014	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	4/15/2011	128	pos
11-015	2011	Halichoerus grypus	Grey seal	Hg	Female	pup	FY	4/7/2011	 <8	neg
11-016	2011	Pagophilus groenlandicus	Harp seal	Pg	Female	pup	FY	4/7/2011	 <8	neg
11-017	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	4/21/2011	 <8	neg
11-018	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	4/21/2011	 <8	neg
11-019	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	4/21/2011	 <8	neg
11-001-NOAA	2011	Phoca vitulina	Harbor seal	Pv	Male	Adult	AFY	4/7/2011	<8	neg
11-020	2011	Pagophilus groenlandicus	Harp seal	Pg	Male	adult	AFY	4/28/2011	16	pos
11-021	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	4/28/2011	32	pos
11-022	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	4/28/2011	 <8	neg
11-023	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/5/2011	 <8	neg
11-024	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/5/2011	 <8	neg
11-025	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/5/2011	 <8	neg
11-026	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/5/2011	 <8	neg
11-027	2011	Phoca vitulina	Harbor seal	Pv	Female	pup	FY	5/19/2011	 <8	neg
11-028	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/19/2011	 <8	neg
11-029	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/19/2011	8	pos
11-030	2011	Phoca vitulina	Harbor seal	Pv	Male	pup	FY	5/19/2011	 <8	neg
